analysis	feature_id	budget	value	partial_spearman_vs_carrier	partial_spearman_vs_coherence	interpretation
native_detector_variant	coherence_w7	20	0.5755434782608695			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w7	40	0.6655797101449274			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w7	58	0.7072463768115942			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w7	80	0.7191511387163562			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w7	100	0.7425207039337474			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w15	20	0.6053053830227744			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w15	40	0.6764492753623188			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w15	58	0.7222826086956522			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w15	80	0.7222826086956522			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w15	100	0.7450569358178054			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w31	20	0.5636387163561076			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w31	40	0.6572463768115941			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w31	58	0.6864130434782608			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w31	80	0.709782608695652			window_or_lag_sensitivity_descriptive
native_detector_variant	coherence_w31	100	0.7216873706004141			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag1_w15	20	0.6036749482401657			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag1_w15	40	0.6764492753623188			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag1_w15	58	0.709782608695652			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag1_w15	80	0.7383540372670807			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag1_w15	100	0.7492236024844721			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag2_w15	20	0.621972049689441			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag2_w15	40	0.6806159420289855			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag2_w15	58	0.7498188405797102			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag2_w15	80	0.761723602484472			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag2_w15	100	0.7725931677018634			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag4_w31	20	0.599508281573499			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag4_w31	40	0.6806159420289855			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag4_w31	58	0.6931159420289854			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag4_w31	80	0.7216873706004141			window_or_lag_sensitivity_descriptive
native_detector_variant	propagation_lag4_w31	100	0.7325569358178053			window_or_lag_sensitivity_descriptive
conditional_residual	propagation_lag2_w15		0.035136134450506416	0.09396891258900616	0.10651043568054018	residual_variation_after_carrier_coherence_and_burst_not_causal
